73340640,653015.638184,238339.267029,111.411003113
75479826,653015.428223,238331.692993,111.333000183
71979372,653007.937988,238329.879028,112.31199646
62272193,653000.181152,238319.596985,111.837997437
61270058,652993.731934,238316.546021,111.883003235
60464481,652987.498047,238320.075989,111.500999451
60176515,652984.844238,238314.93103,111.685997009
58427838,652980.880859,238320.026001,111.649002075
58159786,652976.827148,238313.789978,111.70300293
69553419,652979.269043,238344.731018,111.38999939
68747815,652992.85498,238348.038025,111.183998108
69015265,653003.479004,238349.219971,111.402999878
38722962,652956.78418,238336.551025,111.135002136
14148957,652879.963867,238282.554016,111.199996948
71837496,653007.891113,238330.343994,112.095001221
